,How many employees does your company or organization have?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,"If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?",Have you been diagnosed with a mental health condition by a medical professional?,"If so, what condition(s) were you diagnosed with?",Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,Which of the following best describes your work position?,Do you work remotely?,age_range
96,2,0,0,0,2,0,0,6,0,2,0,0,0,0,0,1,0,1,0,1,0,4,1,4,4,4,3,0,0,1,2,3,4,2,1,1,3,3,1,3,2,1,1,1,107,77,0,95,0,1,1,17,0,95,0,2
97,2,0,0,0,3,0,2,0,0,2,1,1,3,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,3,2,2,0,2,1,0,0,0,1,4,1,1,0,1,1,107,77,0,95,0,1,1,27,1,3,2,2
98,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,3,1,0,1,0,2,4,1,3,0,2,2,0,3,2,2,3,3,2,0,0,3,0,4,3,2,2,2,2,97,77,0,95,0,1,1,20,1,133,2,2
99,1,0,4,3,2,2,0,3,1,2,0,2,2,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,3,1,2,3,0,1,1,1,0,0,4,1,1,2,2,2,96,77,1,81,1,4,2,9,0,0,2,1
100,3,0,4,2,0,0,0,1,1,2,1,1,0,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,4,2,1,2,2,2,1,1,3,3,1,1,1,1,1,1,107,77,0,95,0,1,1,21,1,45,2,2
101,1,0,0,2,2,2,0,0,1,2,0,2,2,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,0,1,3,0,5,1,1,0,2,2,73,77,1,58,1,2,2,4,1,0,2,1
102,4,0,0,0,2,2,0,1,0,2,2,2,0,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,0,1,3,4,0,1,2,2,0,0,4,1,1,2,1,1,107,77,0,95,0,1,1,11,1,0,2,1
103,2,0,0,0,0,0,0,6,1,0,1,1,0,0,0,1,0,1,0,1,0,4,1,3,0,3,2,4,3,2,1,2,2,1,1,1,3,3,4,1,1,2,0,1,107,77,0,95,0,1,1,9,0,16,2,1
104,2,0,2,0,2,2,0,3,1,2,0,0,2,1,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,1,1,0,0,4,0,0,0,0,0,107,64,0,95,0,1,4,8,1,4,1,1
105,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,0,2,1,2,3,3,2,1,2,1,2,1,0,3,2,2,3,0,1,0,1,3,3,4,0,1,1,2,0,107,63,1,72,1,2,2,12,1,153,0,2
106,2,0,4,3,2,2,0,3,1,2,0,1,2,0,0,1,0,1,0,1,0,4,1,3,0,2,1,0,3,1,2,3,0,1,0,0,0,0,4,0,1,2,2,0,107,12,0,95,1,4,4,20,0,0,1,2
107,5,0,4,3,2,3,2,0,1,0,0,0,2,0,0,1,0,1,0,1,0,4,1,4,4,2,3,4,0,3,1,0,2,1,0,0,0,0,4,0,1,2,1,2,121,77,1,107,1,4,4,15,0,205,0,2
108,4,0,4,3,2,2,2,6,0,2,1,2,3,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,1,1,3,1,3,1,1,1,2,2,1,77,1,3,1,3,2,11,1,101,2,1
109,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,3,4,2,4,2,3,0,1,2,4,2,1,0,3,2,2,3,3,1,2,2,1,1,4,1,1,0,2,2,1,77,1,3,1,3,2,11,1,103,1,1
110,1,0,0,2,2,0,0,4,0,2,2,2,0,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,4,3,2,2,2,2,2,2,0,0,1,0,1,1,1,0,107,60,0,95,0,1,1,12,1,16,2,2
111,2,0,4,3,3,3,2,6,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,4,4,0,1,0,0,1,2,2,0,1,2,1,0,1,4,1,1,2,2,2,87,77,1,72,1,4,2,11,1,0,0,1
112,5,0,4,0,2,0,0,3,1,2,1,1,0,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,1,1,3,0,4,1,1,2,0,0,107,51,0,95,0,1,1,13,1,95,2,2
113,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,2,1,0,4,0,3,3,0,1,2,1,0,1,1,0,0,1,1,0,0,0,4,3,3,3,1,2,1,1,107,77,0,95,1,0,4,3,1,8,2,1
114,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,0,2,0,4,0,3,1,1,0,1,2,1,0,4,3,2,3,2,2,0,2,3,3,4,3,2,2,2,2,77,77,1,63,0,4,2,18,0,0,0,2
115,2,1,4,3,2,3,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,0,2,2,0,0,1,0,0,0,1,4,1,1,1,1,1,107,77,0,95,0,1,1,32,1,80,2,2
116,2,1,0,2,2,2,0,0,0,2,0,2,0,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,3,2,2,3,2,1,0,0,2,0,5,1,1,2,2,2,57,77,1,44,1,3,2,7,1,8,2,1
117,2,0,4,3,3,3,2,4,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,3,1,2,2,0,3,1,2,2,3,2,2,1,0,1,5,3,1,2,2,1,107,77,1,9,1,0,2,22,0,95,2,2
118,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,3,2,2,3,2,1,0,1,3,0,4,1,1,2,2,2,87,77,1,72,1,0,2,20,0,0,2,2
119,4,0,4,2,2,2,1,1,1,2,1,1,0,0,0,1,0,1,0,1,0,4,1,4,0,2,1,3,3,1,1,3,3,1,1,1,3,3,0,0,1,2,2,0,107,25,1,25,1,3,4,24,1,46,2,2
120,3,0,0,0,2,2,0,1,0,2,2,2,0,0,0,1,0,1,0,1,0,4,1,3,0,3,2,3,3,1,2,3,3,1,2,2,0,1,5,1,1,2,1,0,107,60,0,95,0,3,3,11,1,209,2,1
121,2,0,4,3,3,0,0,6,0,2,0,2,3,0,0,1,0,1,0,1,0,4,1,0,1,0,1,0,3,2,1,2,2,1,0,1,0,1,1,1,1,0,1,1,107,77,0,95,0,1,1,5,0,16,2,1
122,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,3,2,1,2,3,3,3,1,4,4,2,1,0,0,1,1,2,0,1,0,1,0,0,4,1,1,1,2,2,111,77,1,98,1,1,1,11,1,129,2,1
123,2,1,2,3,2,2,0,3,1,0,1,0,0,0,0,1,0,1,0,1,0,4,1,3,0,3,2,0,4,2,1,2,2,1,0,1,3,1,4,2,2,2,2,2,106,77,1,92,1,3,2,9,0,8,2,1
124,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,0,2,1,2,3,3,0,1,3,0,2,1,0,3,2,1,0,0,1,1,1,3,3,4,2,1,0,2,2,83,77,1,68,1,3,4,29,0,145,2,2
125,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,3,3,1,3,3,3,1,1,3,0,3,2,4,3,2,2,3,3,2,0,0,0,0,4,3,0,2,0,0,107,66,0,95,1,4,2,36,0,155,0,2
126,0,1,0,2,3,2,0,5,1,0,2,1,0,0,0,1,0,1,0,1,0,4,1,4,4,4,3,3,3,2,2,3,0,2,0,1,0,0,4,3,1,0,0,0,107,13,0,95,1,1,2,17,0,162,2,2
127,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,0,3,1,3,3,1,4,1,3,0,2,1,0,0,1,2,3,0,1,2,2,0,0,4,1,1,1,1,1,107,77,0,95,0,1,1,19,1,178,2,2
128,1,0,0,2,0,0,0,6,1,0,2,2,0,0,0,1,0,1,0,1,0,4,1,0,1,0,1,0,3,2,2,3,2,2,1,0,0,1,5,1,1,1,1,1,107,77,0,95,0,1,1,15,1,95,2,2
129,2,0,4,2,2,2,1,4,1,2,1,0,3,0,0,1,0,1,0,1,0,4,1,0,3,2,1,0,0,1,1,2,3,1,0,1,3,3,0,1,1,1,1,1,107,77,0,95,0,1,1,25,0,162,2,2
130,5,1,0,0,2,0,0,5,1,0,1,0,0,0,0,1,0,1,0,1,0,4,1,4,0,2,1,0,0,2,2,3,0,1,1,1,0,0,4,1,1,0,2,0,107,80,1,94,1,3,4,26,1,0,2,2
131,4,0,4,2,2,0,0,3,1,0,0,1,2,0,0,1,0,1,0,1,0,4,1,3,0,3,2,2,4,2,1,2,2,2,0,1,3,3,2,3,1,0,2,0,107,60,1,68,1,3,2,26,1,8,2,2
132,3,0,2,0,2,2,0,3,1,2,0,2,2,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,3,1,2,3,2,2,2,1,3,0,4,3,1,2,2,2,63,77,1,3,1,0,4,11,1,0,2,1
133,5,1,4,2,2,3,2,0,1,2,0,2,0,0,0,1,0,1,0,1,0,4,1,3,0,3,2,0,0,1,1,2,2,2,1,1,3,0,0,3,2,0,2,2,68,77,1,54,1,3,3,15,1,0,2,2
134,5,0,0,2,3,0,0,1,0,2,0,2,3,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,0,1,2,3,3,1,1,1,1,1,4,0,1,2,1,1,107,77,0,95,0,1,1,18,1,8,2,2
135,5,1,4,0,2,0,2,0,1,2,1,0,0,0,0,1,0,1,0,1,0,4,1,3,0,2,2,0,3,1,1,0,0,1,0,0,3,0,1,1,1,1,1,1,107,77,0,95,0,1,1,19,1,45,2,2
136,2,0,4,2,2,0,0,0,0,2,1,0,3,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,3,1,1,0,2,1,0,1,0,0,0,1,1,1,1,0,107,50,1,54,1,3,4,12,1,95,2,2
137,2,0,0,0,2,0,0,4,0,2,2,2,0,0,0,1,0,1,0,1,0,4,1,3,4,3,2,3,2,1,3,4,0,1,2,0,0,1,4,1,1,1,1,1,107,77,0,95,0,1,1,14,1,162,0,2
138,1,0,4,3,2,0,0,3,1,2,1,1,2,0,0,1,0,1,0,1,0,4,1,4,0,3,2,0,3,1,2,3,2,1,0,1,0,0,4,0,2,0,2,2,83,77,1,68,1,3,4,10,0,162,2,1
139,1,0,4,3,3,3,2,4,0,2,2,2,0,0,0,1,0,1,0,1,0,4,1,3,0,0,2,3,3,2,2,3,3,2,2,0,0,1,5,2,1,2,2,2,10,77,1,9,1,3,4,16,1,0,2,2
140,0,0,2,3,2,2,1,5,1,0,1,1,0,0,0,1,0,1,0,1,0,4,1,3,4,3,2,3,4,3,1,2,2,2,1,1,3,3,4,2,2,2,2,2,116,77,1,103,1,4,2,23,0,86,0,2
141,2,0,0,2,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,0,1,2,3,0,1,1,1,3,0,4,0,2,0,1,1,107,77,0,95,0,1,1,7,0,235,2,1
142,3,0,4,2,2,0,0,0,1,2,0,2,3,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,0,2,2,3,3,1,0,0,3,3,4,0,0,2,0,0,107,13,1,9,1,4,4,17,0,95,0,2
143,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,0,1,3,3,3,1,1,2,2,2,1,77,1,3,1,4,4,2,1,95,1,1
144,2,0,4,0,2,2,1,4,1,2,1,2,3,0,0,1,0,1,0,1,0,4,1,3,1,2,2,2,3,1,2,4,3,1,2,1,3,3,5,1,1,0,2,2,87,77,1,72,1,3,2,15,0,205,2,2
145,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,3,1,1,1,3,1,4,1,2,1,2,1,0,0,1,2,2,0,2,1,1,3,3,5,1,1,0,0,0,107,97,0,95,0,1,1,21,1,0,0,2
146,2,0,4,2,2,2,0,5,1,0,0,0,2,1,0,1,0,1,0,1,0,4,1,3,0,2,1,0,3,2,2,3,3,2,0,1,4,1,4,2,1,1,2,2,87,77,1,72,1,3,2,16,1,165,2,2
147,4,0,4,3,2,0,1,4,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,2,4,2,1,0,3,2,1,2,2,2,0,1,3,0,5,0,1,1,1,1,107,77,0,95,1,0,2,25,1,75,2,2
148,4,0,0,2,2,0,0,3,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,3,0,2,1,3,3,1,2,2,0,2,0,0,1,0,5,2,1,2,2,1,107,77,1,68,0,4,4,16,2,95,2,2
149,5,0,2,1,2,2,0,5,1,0,1,1,2,1,0,1,0,1,0,1,0,4,1,2,1,2,1,2,4,2,1,2,2,3,1,1,3,3,4,3,2,1,1,1,107,77,0,95,0,1,1,26,1,162,2,2
150,5,1,4,3,0,3,2,6,0,2,0,2,3,0,0,1,0,1,0,1,0,4,1,3,4,3,2,4,2,1,2,3,3,1,2,2,1,1,5,1,1,1,2,2,1,77,1,3,1,0,4,23,1,205,2,2
151,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,0,4,2,4,4,3,0,1,3,0,2,2,3,3,1,2,3,2,2,0,0,4,0,4,2,0,0,2,2,10,77,1,9,0,3,4,21,1,129,0,2
152,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,3,2,1,2,3,3,0,0,1,2,1,0,1,1,0,0,1,1,0,1,1,3,3,4,1,1,1,2,1,107,77,1,64,1,4,2,31,0,126,0,2
153,1,0,4,2,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,4,1,0,0,3,2,0,0,1,2,3,0,1,0,0,0,0,4,1,1,2,0,0,107,13,0,95,1,1,4,17,1,0,0,2
154,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,3,4,0,3,3,3,1,1,4,0,2,1,4,3,1,3,3,3,2,0,1,0,0,5,0,1,2,2,2,12,77,1,10,1,4,2,12,0,192,0,2
155,2,0,0,2,3,2,0,6,0,2,2,2,0,0,0,1,0,1,0,1,0,4,1,4,0,4,2,0,2,1,3,4,4,1,0,0,3,1,4,1,1,0,0,1,107,77,0,95,0,1,1,10,1,0,0,1
156,1,0,4,2,2,0,0,4,1,0,2,2,0,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,2,0,3,1,2,1,1,1,1,1,107,77,0,95,0,1,1,18,1,162,1,2
157,2,0,2,0,2,0,2,5,1,0,0,0,0,0,0,1,0,1,0,1,0,4,1,3,3,2,1,0,3,2,2,3,2,2,1,1,4,1,0,0,1,0,2,2,93,77,1,17,1,4,2,12,1,42,2,2
158,5,1,0,2,2,2,0,3,1,0,1,1,2,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,3,2,1,0,2,1,1,1,3,3,3,1,1,1,1,1,107,77,0,95,0,1,1,23,1,238,0,2
159,3,0,4,3,2,0,2,4,1,0,1,1,2,0,0,1,0,1,0,1,0,4,1,3,3,3,1,0,3,2,1,2,3,1,1,1,3,0,0,1,1,1,0,1,107,77,0,95,0,1,1,6,1,249,2,1
160,4,0,4,3,2,3,2,6,0,2,0,2,3,0,0,1,0,1,0,1,0,4,1,0,1,2,2,0,0,1,1,0,0,1,2,1,3,0,4,2,2,2,2,2,53,77,1,3,1,4,2,8,1,72,2,1
161,5,1,4,3,2,0,0,3,1,0,0,0,3,0,0,1,0,1,0,1,0,4,1,3,0,2,1,0,3,2,2,3,3,1,1,1,3,3,5,0,0,1,2,2,83,77,1,68,1,4,2,22,0,0,1,2
162,1,0,4,3,2,3,0,4,1,2,0,1,0,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,2,1,3,0,4,0,1,1,2,2,86,77,0,95,0,3,2,22,0,72,2,2
163,5,0,4,3,3,3,2,6,1,0,1,1,3,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,0,1,3,3,1,1,1,0,1,1,107,77,0,95,1,1,1,36,0,123,1,2
164,5,0,4,3,3,3,2,1,1,2,0,0,2,0,0,1,0,1,0,1,0,4,1,2,0,0,1,0,0,2,1,2,2,1,2,0,3,0,4,0,1,1,2,2,107,77,0,95,0,1,1,2,1,30,1,1
165,5,1,0,0,3,2,0,6,1,0,1,0,3,0,0,1,0,1,0,1,0,4,1,4,0,2,1,0,0,1,1,3,0,1,0,0,3,0,1,1,1,1,1,1,107,77,0,95,0,1,1,18,1,205,1,2
166,5,1,0,2,2,0,2,6,1,0,0,2,0,0,0,1,0,1,0,1,0,4,1,2,1,2,1,3,3,2,2,3,3,1,0,0,0,0,1,1,1,1,1,1,107,77,0,95,0,1,1,15,0,95,2,2
167,5,1,4,3,2,3,0,0,1,2,1,1,0,0,0,1,0,1,0,1,0,4,1,0,1,2,2,0,0,1,2,2,0,1,0,1,0,0,3,1,1,0,1,0,107,26,0,95,0,1,4,21,1,0,1,2
168,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,0,3,2,3,2,3,0,0,1,2,1,0,1,1,0,0,1,1,0,2,2,0,1,4,1,1,0,0,0,107,55,0,95,0,4,2,6,1,254,0,1
169,5,1,4,0,3,0,0,4,1,2,1,0,0,0,0,1,0,1,0,1,0,4,1,0,1,0,2,0,3,1,2,3,2,1,2,1,3,3,1,0,1,1,1,0,107,60,0,95,0,1,4,17,1,162,2,2
170,2,0,2,0,2,2,1,4,1,0,2,0,2,0,0,1,0,1,0,1,0,4,1,3,0,2,2,3,3,2,2,3,3,2,0,1,3,3,4,3,2,1,1,0,107,13,0,95,0,4,4,6,1,95,1,1
171,1,0,0,0,2,0,0,1,1,2,0,2,0,0,0,1,0,1,0,1,0,4,1,0,1,0,1,0,0,2,2,4,0,1,0,0,0,0,4,1,1,1,1,1,107,77,0,95,0,1,1,16,1,96,0,2
172,4,0,2,0,2,2,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,4,1,3,0,2,2,0,0,2,2,3,3,1,0,1,3,0,4,0,1,0,0,1,107,77,0,95,1,1,1,18,1,0,0,2
173,5,1,4,2,2,3,0,1,1,0,1,0,2,0,0,1,0,1,0,1,0,4,1,3,3,2,2,0,0,2,1,3,0,1,1,1,3,3,3,1,1,0,0,0,107,14,0,95,0,1,4,26,1,8,2,2
174,4,0,2,1,2,2,1,1,1,0,2,2,2,0,0,1,0,1,0,1,0,4,1,2,0,2,1,3,0,1,1,2,3,1,1,1,4,0,2,0,1,2,2,2,33,77,1,34,1,4,2,7,1,95,1,1
175,2,0,4,0,2,0,2,4,1,0,0,1,0,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,0,1,3,0,4,1,1,1,1,1,107,77,0,95,0,1,1,4,1,95,2,1
176,2,0,4,3,2,2,2,3,1,2,1,1,2,0,0,1,0,1,0,1,0,4,1,3,3,2,1,3,3,1,1,3,2,2,0,0,3,0,4,3,1,2,2,2,10,77,1,9,1,4,2,3,0,95,2,1
177,2,0,0,0,2,2,0,4,0,2,0,0,0,0,0,1,0,1,0,1,0,4,1,0,1,0,1,0,3,1,2,3,3,2,1,1,0,3,4,0,1,2,2,2,12,77,1,10,1,3,2,27,0,0,0,2
178,4,0,2,1,3,2,2,4,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,2,3,2,1,0,0,1,1,0,2,2,2,2,0,0,0,1,1,1,1,1,107,77,0,95,0,1,1,12,1,162,2,2
179,1,0,4,0,0,0,0,6,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,3,1,1,0,0,1,2,0,2,2,5,1,1,2,0,2,83,77,1,68,1,4,2,8,1,34,0,1
180,4,0,2,1,2,3,0,6,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,4,1,2,0,2,1,0,0,0,1,5,1,1,0,0,1,107,77,0,95,0,1,1,18,1,3,2,2
181,1,0,0,0,2,2,0,1,1,0,1,1,3,0,0,1,0,1,0,1,0,4,0,1,2,1,0,1,1,0,0,1,1,0,0,0,3,1,4,1,1,1,1,1,107,77,0,95,0,1,1,18,1,45,1,2
182,0,0,3,1,3,0,0,6,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,0,1,2,1,4,3,2,2,2,3,2,0,1,3,1,4,2,2,1,2,0,107,59,1,67,1,0,2,7,2,76,2,1
183,3,0,2,2,2,2,2,6,0,2,0,2,0,0,0,1,0,1,0,1,0,4,1,4,0,2,1,0,2,1,2,3,0,1,1,1,0,1,1,1,1,2,1,1,107,77,0,95,1,3,4,4,1,0,1,1
184,2,0,4,3,2,2,2,3,1,2,0,0,3,0,0,1,0,1,0,1,0,4,1,2,4,2,1,2,3,2,1,2,2,1,0,0,3,0,4,3,0,2,2,2,18,77,1,14,1,3,2,21,1,64,1,2
185,0,0,2,2,2,2,1,4,0,2,0,2,2,0,0,1,0,1,0,1,0,4,1,0,1,2,1,3,3,1,2,3,2,1,2,0,0,1,4,1,1,1,1,1,107,77,0,95,0,1,1,10,1,3,2,1
186,1,0,4,3,3,3,2,4,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,0,1,0,3,0,0,1,2,3,3,1,0,0,1,2,4,1,1,0,2,2,83,77,1,68,1,4,2,18,1,33,2,2
187,1,0,4,3,0,3,2,3,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,3,0,3,2,4,3,1,2,3,3,2,0,1,0,0,1,0,1,2,0,1,107,77,0,95,1,1,1,15,0,185,1,2
188,5,0,4,2,2,0,0,6,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,3,0,2,1,0,4,2,1,3,2,1,0,0,1,0,5,1,1,1,2,2,12,77,1,10,1,3,2,21,1,250,2,2
189,3,0,4,2,2,0,0,6,1,2,0,0,0,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,0,1,2,3,3,1,2,1,3,3,5,0,2,1,2,0,107,94,1,111,1,0,4,20,1,206,2,2
190,3,0,4,0,0,3,0,4,1,2,0,0,3,0,0,1,0,1,0,1,0,4,1,0,1,0,2,0,3,2,2,3,3,1,0,0,0,0,4,1,1,2,2,2,1,77,1,3,1,3,4,9,1,0,0,1
191,6,0,1,1,1,1,1,2,0,1,1,1,1,0,0,3,3,1,3,3,3,1,1,2,1,2,1,0,3,1,2,3,3,1,0,0,0,3,4,0,1,1,0,0,107,91,0,95,0,1,1,9,1,0,2,1
192,2,0,2,2,2,2,0,1,0,2,1,1,0,0,0,1,0,1,0,1,0,4,1,2,4,2,1,0,0,1,1,2,3,1,0,1,0,1,3,1,1,2,1,1,107,77,0,95,0,1,1,8,1,0,2,1
193,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,0,3,1,3,3,2,4,1,0,1,2,1,0,3,2,2,3,0,1,0,0,0,0,4,1,1,1,0,0,107,2,0,95,1,1,1,29,1,162,2,2
194,5,0,4,3,2,2,0,3,1,0,2,2,0,0,0,1,0,1,0,1,0,4,1,4,4,3,2,3,3,2,2,3,3,2,0,0,0,0,4,3,0,1,2,2,12,77,1,72,1,4,2,30,0,62,2,2
195,2,0,2,0,2,2,0,4,1,2,2,2,2,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,3,1,2,3,2,1,2,1,3,0,5,1,1,0,2,2,10,77,1,9,1,4,2,16,1,0,1,2
196,1,0,0,2,2,2,0,4,1,2,0,0,0,0,0,1,0,1,0,1,0,4,1,2,3,2,1,2,3,1,2,3,3,2,0,1,0,2,5,3,1,2,2,2,10,77,1,9,1,4,2,16,1,206,2,2
197,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,3,4,3,4,0,3,1,1,2,1,2,1,0,4,1,2,3,2,1,2,0,0,1,2,1,1,2,2,2,1,77,1,3,1,2,2,19,1,30,0,2
198,3,0,4,3,3,3,2,1,1,2,2,0,3,0,0,1,0,1,0,1,0,4,1,4,0,2,2,4,3,1,2,2,2,1,2,1,0,0,0,0,1,2,2,1,107,77,1,9,1,3,2,13,1,80,2,2
199,5,0,4,3,2,3,0,3,1,0,1,1,2,0,0,1,0,1,0,1,0,4,1,2,1,2,1,2,4,2,1,2,2,2,0,1,3,3,3,1,1,2,2,2,87,77,1,72,1,4,2,23,1,206,2,2
200,1,0,4,3,2,3,2,3,1,2,0,2,3,0,0,1,0,1,0,1,0,4,1,3,0,2,2,0,3,3,2,3,2,2,0,1,3,3,4,0,2,2,2,0,107,2,0,95,1,4,2,14,0,249,0,2
201,2,0,0,1,2,0,2,6,0,2,2,2,0,0,0,1,0,1,0,1,0,4,1,0,1,3,1,0,2,1,2,4,0,1,2,2,1,1,5,1,1,1,1,1,107,77,0,95,0,1,1,16,1,5,0,2
202,3,0,0,2,2,0,2,4,0,2,2,2,3,0,0,1,0,1,0,1,0,4,1,0,1,2,1,0,0,1,2,3,0,1,1,1,3,3,4,1,1,1,0,0,107,60,0,95,0,1,1,5,1,96,2,1
203,3,0,4,3,2,3,0,4,0,2,2,2,2,1,0,1,0,1,0,1,0,4,1,4,4,2,2,0,3,2,2,3,3,2,1,2,0,2,5,3,1,2,2,2,32,77,1,22,1,4,4,10,0,162,2,1
204,1,0,0,0,2,2,0,3,1,2,0,2,3,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,3,1,2,3,3,1,2,1,0,0,4,0,1,1,2,0,107,69,0,95,1,4,4,10,1,210,0,1
